LOCATION,Address,Ant車n Recio #18 between Condesa and Tenerife,
,Province,La Habana,
,Municipality,Centro Habana,
,SIT-PM code,UBIT_1_lot_18_Ant車n Recio,
PARCEL DATA - BLOCK,UBIT,1,
,Type,Public,
,plot (m2),46.3,
,block (m2),9705,
,Percentage plot/lot,2.36%,
BUILDING DATA,Style,Eclectic,
,Floors,3,
,Occupied area (m2),46.3,
,Gross floor area (m2),46.3,
,Height,approx. 8 m,
URBAN CHARACTERISTICS OF THE ENVIRONMENT,Property on the left (exiting),Ant車n Recio #16,
,the right (exiting),Ant車n Recio #20,
LAND USE,Activity,Residential,
,Usage,Housing,
TECHNICAL CONDITION AND STRUCTURAL COMPONENTS,Type of structure,Mixed,
,Structural components,Wall,masonry
,,Floor,mosaic
,,Roof,concrete
,Technical condition,Structure,good
,,Installations,good
,,Waterproofing,good
,,fair Termination,good
,Constructive actions,Repair and Maintenance,
